country,ISOcode,cases,deaths,popdata2018,popdata2018_log,cases_log,deaths_log,ccode,country_name,country_id,v2x_polyarchy,v2x_libdem,v2x_partipdem
New_Caledonia,NCL,18,0,284060,5.4534116,1.2787536,0,,Palestine/Gaza,138,.13,.078000002,.111
Niger,NER,570,14,22442948,7.3510799,2.7566361,1.1760913,436,Niger,60,.45699999,.34400001,.30199999
Nigeria,NGA,373,11,195874740,8.2919788,2.5728717,1.0791812,475,Nigeria,45,.498,.33899999,.33000001
Nicaragua,NIC,12,1,6465513,6.8106031,1.1139433,.30103001,93,Nicaragua,59,.245,.057999998,.16
Netherlands,NLD,27419,2945,17231017,7.236311,4.4380674,3.4692328,210,Netherlands,91,.82999998,.78399998,.56800002
Norway,NOR,6566,127,5314336,6.7254491,3.8173671,2.1072099,385,Norway,186,.87400001,.82499999,.62099999
Nepal,NPL,16,0,28087871,7.4485188,1.230449,0,790,Nepal,58,.60500002,.46399999,.391
New_Zealand,NZL,1078,9,4885500,6.6889091,3.0330215,1,,Somaliland,139,.44100001,.26499999,.285
New_Zealand,NZL,1078,9,4885500,6.6889091,3.0330215,1,,Palestine/West Bank,128,.28299999,.20999999,.20100001
New_Zealand,NZL,1078,9,4885500,6.6889091,3.0330215,1,,Palestine/Gaza,138,.13,.078000002,.111
New_Zealand,NZL,1078,9,4885500,6.6889091,3.0330215,1,,Hong Kong,167,.31799999,.255,.117
Oman,OMN,910,4,4829483,6.6839008,2.9595184,.69897002,698,Oman,187,.185,.14300001,.117
Pakistan,PAK,5988,107,212215030,8.3267765,3.7773542,2.0334237,770,Pakistan,29,.35100001,.211,.17200001
Panama,PAN,3574,95,4176873,6.6208515,3.5532761,1.9822712,95,Panama,92,.78299999,.59200001,.50300002
Peru,PER,10303,230,31989256,7.5050039,4.0130057,2.3636119,135,Peru,30,.78399998,.67400002,.54900002
Philippines,PHL,5223,335,106651922,8.0279684,3.7180033,2.5263393,840,Philippines,46,.47999999,.28600001,.32499999
Papua_New_Guinea,PNG,2,0,8606316,6.9348173,.47712126,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Papua_New_Guinea,PNG,2,0,8606316,6.9348173,.47712126,0,,Palestine/Gaza,138,.13,.078000002,.111
Papua_New_Guinea,PNG,2,0,8606316,6.9348173,.47712126,0,,Hong Kong,167,.31799999,.255,.117
Papua_New_Guinea,PNG,2,0,8606316,6.9348173,.47712126,0,,Somaliland,139,.44100001,.26499999,.285
Poland,POL,7202,263,37978548,7.5795383,3.8575134,2.4216039,290,Poland,17,.69199997,.5,.48100001
Puerto_Rico,PRI,923,45,3195153,6.5044918,2.965672,1.6627579,,Palestine/Gaza,138,.13,.078000002,.111
Puerto_Rico,PRI,923,45,3195153,6.5044918,2.965672,1.6627579,,Hong Kong,167,.31799999,.255,.117
Puerto_Rico,PRI,923,45,3195153,6.5044918,2.965672,1.6627579,,Somaliland,139,.44100001,.26499999,.285
Puerto_Rico,PRI,923,45,3195153,6.5044918,2.965672,1.6627579,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Portugal,PRT,17448,567,10281762,7.0120678,4.2417707,2.7543483,235,Portugal,21,.87,.81699997,.602
Paraguay,PRY,161,8,6956071,6.8423638,2.2095151,.95424253,150,Paraguay,189,.60100001,.42699999,.39199999
Palestine,PSE,287,2,4569087,6.6598296,2.4593925,.47712126,,Somaliland,139,.44100001,.26499999,.285
Palestine,PSE,287,2,4569087,6.6598296,2.4593925,.47712126,,Palestine/Gaza,138,.13,.078000002,.111
Palestine,PSE,287,2,4569087,6.6598296,2.4593925,.47712126,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Palestine,PSE,287,2,4569087,6.6598296,2.4593925,.47712126,,Hong Kong,167,.31799999,.255,.117
French_Polynesia,PYF,55,0,277679,5.4435444,1.748188,0,,Palestine/Gaza,138,.13,.078000002,.111
French_Polynesia,PYF,55,0,277679,5.4435444,1.748188,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
French_Polynesia,PYF,55,0,277679,5.4435444,1.748188,0,,Hong Kong,167,.31799999,.255,.117
French_Polynesia,PYF,55,0,277679,5.4435444,1.748188,0,,Somaliland,139,.44100001,.26499999,.285
Qatar,QAT,3428,7,2781677,6.4443069,3.5351675,.90309,694,Qatar,94,.090999998,.086000003,.028999999
Romania,ROU,6879,344,19473936,7.289454,3.8375885,2.5378191,360,Romania,190,.67900002,.43399999,.46000001
Russia,RUS,21102,170,144478050,8.1598015,4.3243442,2.2329962,365,Russia,11,.24600001,.098999999,.162
Rwanda,RWA,134,0,12301939,7.0899734,2.1303337,0,517,Rwanda,129,.259,.154,.19400001
Saudi_Arabia,SAU,5369,73,33699947,7.5276294,3.7299743,1.8692317,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Saudi_Arabia,SAU,5369,73,33699947,7.5276294,3.7299743,1.8692317,,Hong Kong,167,.31799999,.255,.117
Saudi_Arabia,SAU,5369,73,33699947,7.5276294,3.7299743,1.8692317,,Somaliland,139,.44100001,.26499999,.285
Saudi_Arabia,SAU,5369,73,33699947,7.5276294,3.7299743,1.8692317,,Palestine/Gaza,138,.13,.078000002,.111
Sudan,SDN,32,5,41801533,7.6211925,1.5185139,.77815127,625,Sudan,33,.213,.086999997,.101
Senegal,SEN,299,2,15854360,7.2001486,2.4771214,.47712126,433,Senegal,31,.708,.56099999,.37099999
Singapore,SGP,3252,10,5638676,6.7511773,3.512284,1.0413927,830,Singapore,200,.398,.345,.115
Sierra_Leone,SLE,11,0,7650154,6.8836703,1.0791812,0,,Palestine/Gaza,138,.13,.078000002,.111
Sierra_Leone,SLE,11,0,7650154,6.8836703,1.0791812,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Sierra_Leone,SLE,11,0,7650154,6.8836703,1.0791812,0,,Hong Kong,167,.31799999,.255,.117
Sierra_Leone,SLE,11,0,7650154,6.8836703,1.0791812,0,,Somaliland,139,.44100001,.26499999,.285
El_Salvador,SLV,159,6,6420744,6.8075852,2.2041199,.84509802,,Palestine/West Bank,128,.28299999,.20999999,.20100001
El_Salvador,SLV,159,6,6420744,6.8075852,2.2041199,.84509802,,Palestine/Gaza,138,.13,.078000002,.111
El_Salvador,SLV,159,6,6420744,6.8075852,2.2041199,.84509802,,Somaliland,139,.44100001,.26499999,.285
El_Salvador,SLV,159,6,6420744,6.8075852,2.2041199,.84509802,,Hong Kong,167,.31799999,.255,.117
San_Marino,SMR,372,36,33785,4.5287366,2.5717089,1.5682018,,Palestine/West Bank,128,.28299999,.20999999,.20100001
San_Marino,SMR,372,36,33785,4.5287366,2.5717089,1.5682018,,Palestine/Gaza,138,.13,.078000002,.111
San_Marino,SMR,372,36,33785,4.5287366,2.5717089,1.5682018,,Somaliland,139,.44100001,.26499999,.285
San_Marino,SMR,372,36,33785,4.5287366,2.5717089,1.5682018,,Hong Kong,167,.31799999,.255,.117
Somalia,SOM,60,2,15008154,7.1763272,1.7853298,.47712126,520,Somalia,130,.161,.102,.094999999
Serbia,SRB,4054,84,6982084,6.8439851,3.6079907,1.9294189,345,Serbia,198,.359,.25400001,.244
South_Sudan,SSD,4,0,10975920,7.040441,.69897002,0,,Palestine/Gaza,138,.13,.078000002,.111
South_Sudan,SSD,4,0,10975920,7.040441,.69897002,0,,Hong Kong,167,.31799999,.255,.117
South_Sudan,SSD,4,0,10975920,7.040441,.69897002,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
South_Sudan,SSD,4,0,10975920,7.040441,.69897002,0,,Somaliland,139,.44100001,.26499999,.285
Sao_Tome_and_Principe,STP,4,0,211028,5.3243423,.69897002,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Sao_Tome_and_Principe,STP,4,0,211028,5.3243423,.69897002,0,,Hong Kong,167,.31799999,.255,.117
Sao_Tome_and_Principe,STP,4,0,211028,5.3243423,.69897002,0,,Somaliland,139,.44100001,.26499999,.285
Sao_Tome_and_Principe,STP,4,0,211028,5.3243423,.69897002,0,,Palestine/Gaza,138,.13,.078000002,.111
Suriname,SUR,10,1,575991,5.7604165,1.0413927,.30103001,115,Suriname,4,.736,.55000001,.40900001
Slovakia,SVK,835,2,5447011,6.7361584,2.9222062,.47712126,317,Slovakia,201,.81300002,.71700001,.60900003
Slovenia,SVN,1220,56,2067372,6.3154187,3.0867157,1.7558749,349,Slovenia,202,.79699999,.71399999,.60600001
Sweden,SWE,11445,1033,10183175,7.0078831,4.0586538,3.0145206,380,Sweden,5,.87400001,.829,.61799997
Eswatini,SWZ,15,0,1367000,6.1357689,1.20412,0,,Somaliland,139,.44100001,.26499999,.285
Eswatini,SWZ,15,0,1367000,6.1357689,1.20412,0,,Hong Kong,167,.31799999,.255,.117
Eswatini,SWZ,15,0,1367000,6.1357689,1.20412,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Eswatini,SWZ,15,0,1367000,6.1357689,1.20412,0,,Palestine/Gaza,138,.13,.078000002,.111
Sint_Maarten,SXM,52,9,41486,4.6179118,1.7242758,1,,Hong Kong,167,.31799999,.255,.117
