dyadid,year,ccode,ctry,conflictid,sidea2nd,side_b,sideb2nd,rebbest2010,lnintv_ratiolag,lnratio_scale,multreb,lnbdbest,lnarea,age,lagpolityalt,laggdpper,lnlagtpop,lngov,lagrebdum2010,lagreb2010
27,1999,483,Chad,91,,MDJT,,0,,-2.8721511,0,6.3153582,14.00054,0,-2,6.7543478,8.8915119,0,0,0
27,2000,483,Chad,91,,MDJT,,0,0,-3.7884419,0,6.8906088,14.00054,1,-2,6.7651429,8.9170427,0,0,0
27,2001,483,Chad,91,,MDJT,,0,0,-3.7884419,0,5.545177,14.00054,2,-2,6.7208352,8.9425917,0,0,0
27,2002,483,Chad,91,,MDJT,,0,0,-3.7884419,0,6.0282779,14.00054,3,-2,6.7125549,9.0266581,0,0,0
35,1997,581,Comoros,213,,MPA,,0,,-.69314724,0,4.0430508,6.0550542,0,4,7.3817511,6.4488888,0,0,0
36,1993,484,"Congo, Republic of",214,,Ninjas,,0,,-1.89712,0,3.9889841,11.53,0,5,7.5669475,7.7714891,0,0,0
36,1994,484,"Congo, Republic of",214,,Ninjas,,0,0,-1.89712,0,3.258096,11.53,1,5,7.323679,7.8013911,0,0,0
36,1998,484,"Congo, Republic of",214,"Angola, Chad",Ninjas,,0,,.28768203,1,8.0928507,11.53,5,-6,7.56919,7.9175358,6.0935698,0,0
36,1999,484,"Congo, Republic of",214,"Angola, Chad",Ninjas,,0,-1.2527629,.28768203,1,6.4409471,11.53,6,-6,7.4712605,7.932003,4.6634393,0,0
37,1998,484,"Congo, Republic of",214,"Angola, Chad",Cocoyes,,0,,.28768203,1,8.0928507,11.53,1,-6,7.56919,7.9175358,6.0935698,0,0
37,1999,484,"Congo, Republic of",214,"Angola, Chad",Cocoyes,,0,-1.2527629,.28768203,1,6.4409471,11.53,2,-6,7.4712605,7.932003,4.6634393,0,0
38,1998,484,"Congo, Republic of",214,"Angola, Chad",Ntsiloulous,,58,,,1,8.0928507,11.53,0,-6,7.56919,7.9175358,6.0935698,0,0
38,1999,484,"Congo, Republic of",214,"Angola, Chad",Ntsiloulous,,0,-1.2527629,,1,6.4409471,11.53,1,-6,7.4712605,7.932003,4.6634393,1,58
38,2000,484,"Congo, Republic of",214,,Ntsiloulous,,0,-.9162907,,1,0,11.53,2,-6,7.0458117,7.9599748,0,0,0
38,2001,484,"Congo, Republic of",214,,Ntsiloulous,,0,-.40546507,,1,0,11.53,3,-6,7.1594396,7.987185,0,0,0
38,2002,484,"Congo, Republic of",214,Angola,Ntsiloulous,,58,-.40546507,-1.3862944,0,5.1239638,11.53,4,-5,7.2005367,7.997663,0,0,0
39,1996,490,"Congo, Democratic Republic of",86,,AFDL,Rwanda,27445,,-.55961585,0,7.137279,14.64163,0,0,6.1780891,10.72443,6.0038872,0,0
39,1997,490,"Congo, Democratic Republic of",86,,AFDL,"Angola, Rwanda, Uganda",2148,3.0445225,-.33647212,0,8.37609,14.64163,1,0,6.2110014,10.75389,8.1244469,1,27445
40,1998,490,"Congo, Democratic Republic of",86,"Angola, Chad, Namibia, Zimbabwe (Rhodesia)",RCD,"Rwanda, Uganda",2622,,.45470881,1,7.5878172,14.64163,0,0,6.1372299,10.77979,7.2406497,0,0
40,1999,490,"Congo, Democratic Republic of",86,"Angola, Chad, Namibia, Zimbabwe (Rhodesia)",RCD,"Rwanda, Uganda",1623,-.22314353,.15139978,1,7.8216429,14.64163,1,0,6.0888863,10.80241,5.9939613,1,2622
40,2000,490,"Congo, Democratic Republic of",86,"Angola, Namibia, Zimbabwe (Rhodesia)",RCD,"Rwanda, Uganda",34,.33647221,-.44628704,1,7.5913572,14.64163,2,0,5.9876575,10.82646,3.9512436,1,1623
40,2001,490,"Congo, Democratic Republic of",86,"Angola, Namibia, Zimbabwe (Rhodesia)",RCD,"Rwanda, Uganda",0,.18232159,-.35667497,1,6.3818159,14.64163,3,0,5.8837399,10.85232,0,1,34
41,1998,490,"Congo, Democratic Republic of",86,"Angola, Chad, Namibia, Zimbabwe (Rhodesia)",MLC,"Rwanda, Uganda",0,,.45470881,1,7.5878172,14.64163,0,0,6.1372299,10.77979,7.2406497,0,0
41,1999,490,"Congo, Democratic Republic of",86,"Angola, Chad, Namibia, Zimbabwe (Rhodesia)",MLC,"Rwanda, Uganda",0,-.9162907,.15139978,1,7.8216429,14.64163,1,0,6.0888863,10.80241,5.9939613,0,0
41,2000,490,"Congo, Democratic Republic of",86,"Angola, Namibia, Zimbabwe (Rhodesia)",MLC,"Rwanda, Uganda",0,-.62860858,-.44628704,1,7.5913572,14.64163,2,0,5.9876575,10.82646,3.9512436,0,0
41,2001,490,"Congo, Democratic Republic of",86,"Angola, Namibia, Zimbabwe (Rhodesia)",MLC,"Rwanda, Uganda",0,-.62860858,-.35667497,1,6.3818159,14.64163,3,0,5.8837399,10.85232,0,0,0
42,1999,490,"Congo, Democratic Republic of",86,"Angola, Chad, Namibia, Zimbabwe (Rhodesia)",RCD Faction,"Rwanda, Uganda",0,,.15139978,1,7.8216429,14.64163,0,0,6.0888863,10.80241,5.9939613,0,0
42,2000,490,"Congo, Democratic Republic of",86,"Angola, Namibia, Zimbabwe (Rhodesia)",RCD Faction,"Rwanda, Uganda",0,-.62860858,-.44628704,1,7.5913572,14.64163,1,0,5.9876575,10.82646,3.9512436,0,0
42,2001,490,"Congo, Democratic Republic of",86,"Angola, Namibia, Zimbabwe (Rhodesia)",RCD Faction,"Rwanda, Uganda",0,-.62860858,-.35667497,1,6.3818159,14.64163,2,0,5.8837399,10.85232,0,0,0
43,1991,522,Djibouti,184,,FRUD,,0,,-.42744407,0,4.0943451,9.983983,0,-8,8.1030016,6.2480431,0,0,0
43,1992,522,Djibouti,184,,FRUD,,0,0,-.1053606,0,4.8675351,9.983983,1,-8,7.8900361,6.2859979,0,0,0
43,1993,522,Djibouti,184,,FRUD,,0,0,-.42744407,0,3.526361,9.983983,2,-7,7.9995208,6.3171649,0,0,0
43,1994,522,Djibouti,184,,FRUD,,0,0,-1.0296195,0,3.688879,9.983983,3,-7,8.2910051,6.3456359,0,0,0
44,1999,,,,,,,0,,,,,,,,,,0,,
48,1989,530,Ethiopia,70,,TPLF/EPRDF/EPDM,,0,,-1.4485075,1,9.820323,11.04219,0,-8,5.9152584,10.79111,6.8035054,,
48,1990,530,Ethiopia,70,,TPLF/EPRDF/EPDM,,0,0,-.89276016,1,9.8823147,11.04219,1,-8,5.8841019,10.82311,5.0689044,0,0
48,1991,530,Ethiopia,70,,TPLF/EPRDF/EPDM,,0,0,-.78275943,1,8.273592,11.04219,2,-8,5.9895124,10.853,3.583519,0,0
49,1989,,,,,,,0,,,,,,,,,,6.8035054,,
52,1996,530,Ethiopia,168,,ARDUF,,0,,,1,3.258096,9.6856489,0,0,6.2537904,10.94512,0,0,0
53,1989,530,Ethiopia,78,,EPLF,,0,,-1.4485075,1,8.6879482,12.63312,16,-8,5.9152584,10.79111,6.8035054,,
53,1990,530,Ethiopia,78,,EPLF,,0,0,-.89276016,1,10.32987,12.63312,17,-8,5.8841019,10.82311,5.0689044,0,0
53,1991,530,Ethiopia,78,,EPLF,,0,0,-.78275943,1,8.840435,12.63312,18,-8,5.9895124,10.853,3.583519,0,0
54,1994,530,Ethiopia,133,,ONLF,,0,,,1,3.9318261,12.63312,0,0,6.2295165,10.88249,0,0,0
54,1995,530,Ethiopia,133,,ONLF,,0,0,,1,5.4424181,12.63312,1,0,6.211062,10.91396,0,0,0
54,1996,530,Ethiopia,133,,ONLF,,0,0,,1,5.356586,12.11195,2,0,6.2537904,10.94512,0,0,0
54,1997,530,Ethiopia,133,,ONLF,,0,0,,1,0,12.63312,3,0,6.3236775,10.97688,0,0,0
54,1998,530,Ethiopia,133,,ONLF,,0,0,,1,0,12.11195,4,0,6.3790374,11.00456,0,0,0
54,1999,530,Ethiopia,133,,ONLF,,0,0,,1,3.9318261,12.11195,5,0,6.3823571,10.99623,0,0,0
54,2000,530,Ethiopia,133,,ONLF,,0,0,,1,3.258096,12.11195,6,0,6.479784,11.02019,0,0,0
54,2001,530,Ethiopia,133,,ONLF,,0,0,,1,3.258096,12.11195,7,0,6.5866818,11.04396,0,0,0
54,2002,530,Ethiopia,133,,ONLF,,0,0,,1,3.258096,12.11195,8,0,6.6297989,11.08788,3.583519,0,0
54,2003,530,Ethiopia,133,,ONLF,,0,0,,1,0,12.63312,9,0,6.603632,11.11573,6.2344108,0,0
54,2004,530,Ethiopia,133,,ONLF,,0,0,,1,3.258096,12.11195,10,0,6.556139,11.1437,5.5012584,0,0
54,2005,530,Ethiopia,133,,ONLF,,0,0,,1,4.1271338,12.63312,11,0,6.6463904,11.17136,0,0,0
54,2006,530,Ethiopia,133,,ONLF,,0,0,,1,3.258096,12.63312,12,0,,11.19882,3.2958369,0,0
54,2007,530,Ethiopia,133,,ONLF,,82,0,-2.6280074,1,4.9904332,12.63312,13,0,,11.22614,4.9698133,0,0
54,2008,530,Ethiopia,133,,ONLF,,0,0,-2.6280074,1,3.258096,12.63312,14,0,,11.25273,0,0,0
55,1989,530,Ethiopia,219,,OLF,,0,,-1.4485075,1,3.258096,13.5371,15,-8,5.9152584,10.79111,6.8035054,,
55,1990,530,Ethiopia,219,,OLF,,0,0,-.89276016,1,4.3944492,13.5371,16,-8,5.8841019,10.82311,5.0689044,0,0
55,1991,530,Ethiopia,219,,OLF,,0,0,-.78275943,1,6.5525079,13.5371,17,-8,5.9895124,10.853,3.583519,0,0
55,1992,,,,,,,0,,,,,,,,,,0,0,0
55,1993,,,,,,,0,,,,,,,,,,3.2958369,0,0
55,1994,530,Ethiopia,219,,OLF,,0,,,1,3.258096,13.5371,0,0,6.2295165,,0,0,0
55,1995,530,Ethiopia,219,,OLF,,0,0,,1,3.258096,12.63312,21,0,6.211062,,0,0,0
55,1996,,,,,,,0,,,,,,,,,,0,0,0
55,1997,,,,,,,0,,,,,,,,,,0,0,0
55,1998,530,Ethiopia,219,,OLF,,0,,,1,3.258096,12.63312,24,0,6.3790374,,0,0,0
55,1999,530,Ethiopia,219,,OLF,,0,0,-7.377759,0,6.568078,13.5371,25,0,6.3823571,10.99623,0,0,0
55,2000,530,Ethiopia,219,,OLF,,0,0,-7.467371,0,3.258096,13.5371,26,0,6.479784,11.02019,0,0,0
55,2001,530,Ethiopia,219,,OLF,,0,0,-7.1388669,0,3.258096,13.5371,27,0,6.5866818,11.04396,0,0,0
55,2002,530,Ethiopia,219,,OLF,,0,0,-7.130899,0,3.258096,13.5371,28,0,6.6297989,11.08788,3.583519,0,0
55,2003,530,Ethiopia,219,,OLF,,0,0,-6.6970339,0,3.258096,13.5371,29,0,6.603632,11.11573,6.2344108,0,0
55,2004,530,Ethiopia,219,,OLF,,0,0,-6.8023949,0,3.258096,13.5371,30,0,6.556139,11.1437,5.5012584,0,0
55,2005,530,Ethiopia,219,,OLF,,0,0,-5.8861041,0,3.258096,13.5371,31,0,6.6463904,11.17136,0,0,0
55,2006,530,Ethiopia,219,,OLF,,0,0,-3.583519,0,3.258096,13.5371,32,0,,11.19882,3.2958369,0,0
55,2007,530,Ethiopia,219,,OLF,,0,0,-2.6280074,1,3.258096,13.5371,33,0,,11.22614,4.9698133,0,0
55,2008,530,Ethiopia,219,,OLF,,0,0,-2.6280074,1,3.258096,13.5371,34,0,,11.25273,0,0,0
57,2000,438,Guinea,111,,RFDG,,0,,,1,5.3844948,11.34645,0,-1,7.8243461,8.9038153,0,0,0
57,2001,438,Guinea,111,,RFDG,,0,0,-.66268802,0,6.0707378,11.34645,1,-1,7.8423262,8.9132814,0,0,0
58,1998,404,Guinea-Bissau,216,"Guinea, Senegal",Military Faction,,0,,-.43825495,0,6.2265372,10.5108,0,5,6.5374737,7.013916,0,0,0
58,1999,404,Guinea-Bissau,216,"Guinea, Senegal",Military Faction,,0,-1.3862944,.072570629,0,5.298317,10.5108,1,0,6.2211466,7.0570369,0,0,0
89,2002,437,Cote d'Ivoire,225,,MPCI,,103,,-2.0677452,1,6.3885608,12.68015,0,4,7.8658862,9.7367239,5.433722,0,0
89,2003,437,Cote d'Ivoire,225,,MPCI,,50,0,-.65846157,1,4.9416418,12.68015,1,0,7.8694439,9.767725,4.3040652,1,103
91,2002,437,Cote d'Ivoire,225,,MPIGO,,0,,,1,6.3885608,12.68015,0,4,7.8658862,9.7367239,5.433722,0,0
91,2003,437,Cote d'Ivoire,225,,MPIGO,,65,0,,1,4.9416418,12.68015,1,0,7.8694439,9.767725,4.3040652,0,0
92,1998,570,Lesotho,217,"Botswana, South Africa",Military Faction,,0,,-.69314724,0,4.234107,8.4344606,0,8,7.5217295,7.6643472,0,0,0
